participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.firm_owner_id,player.is_autarkic,player.effort_to_firm,group.id_in_subsession,group.total_effort,group.firm_size,group.per_capita_effort,group.per_capita_payout,subsession.round_number,subsession.formation_state,subsession.formation_finalized,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,o2687cmn,,0,2,210,pg_endogenous,FormationWaitPage,2026-01-08 00:45:53.097639,1,,,0.0,1,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
2,nnjqf146,,0,0,210,,,,0,,,0.0,2,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
3,opsfx470,,0,0,210,,,,0,,,0.0,3,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
4,jzdmq710,,0,0,210,,,,0,,,0.0,4,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
5,pshrf9vj,,0,0,210,,,,0,,,0.0,5,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
6,jrxflcb8,,0,0,210,,,,0,,,0.0,6,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
7,xy0rgmtc,,0,0,210,,,,0,,,0.0,7,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
8,sxo7d1i1,,0,0,210,,,,0,,,0.0,8,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
9,kt2amw1w,,0,0,210,,,,0,,,0.0,9,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
10,ll107w3q,,0,0,210,,,,0,,,0.0,10,,0.0,0,1,0,1,0,0,0.0,0.0,1,"{""pending"": {""1"": [], ""2"": [1], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""accepted"": {""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [], ""10"": [], ""11"": [], ""12"": [], ""13"": [], ""14"": [], ""15"": [], ""16"": [], ""17"": [], ""18"": []}, ""employer"": {""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null}, ""rejections"": []}",0,69urbrf6,,,,,1
